Appointment_ID,Date,Pet_ID,Owner_ID,Clinic,Doctor,Service,Status,Amount
A001,01-01-2026,P101,C001,Gurgaon,Dr. Sharma,Consultation,Completed,800
A002,02-01-2026,P102,C002,Delhi,Dr. Mehta,Vaccination,Completed,1200
A003,03-01-2026,P103,C003,Gurgaon,Dr. Singh,Grooming,Completed,1500
A004,04-01-2026,P104,C004,Noida,Dr. Sharma,Blood Test,Completed,2000
A005,05-01-2026,P105,C005,Delhi,Dr. Verma,Consultation,Cancelled,800
A006,06-01-2026,P106,C006,Gurgaon,Dr. Mehta,Surgery,Completed,15000
A007,08-01-2026,P101,C001,Gurgaon,Dr. Sharma,Vaccination,Completed,1000
A008,10-01-2026,P107,C007,Noida,Dr. Singh,Grooming,Completed,1800
A009,12-01-2026,P108,C008,Delhi,Dr. Verma,Consultation,Completed,900
A010,15-01-2026,P109,C009,Gurgaon,Dr. Mehta,X-Ray,Completed,2500
